loan_id;account_id;date_loan;amount_of_loan;duration_of_loan_in_month;payments_per_month;status
6568;7713;25/02/1998;220440;60;3674.0;C
6861;9179;28/02/1998;215040;60;3584.0;C
6855;9153;01/03/1998;52236;36;1451.0;C
7129;10404;01/03/1998;194280;60;3238.0;C
5384;2142;07/03/1998;23328;12;1944.0;C
6859;9167;07/03/1998;272220;60;4537.0;C
5772;3906;08/03/1998;334620;60;5577.0;C
5665;3390;11/03/1998;40632;12;3386.0;C
6495;7274;12/03/1998;49044;12;4087.0;C
5061;440;13/03/1998;84288;48;1756.0;C
6948;9560;15/03/1998;157068;36;4363.0;C
5773;3907;16/03/1998;133848;24;5577.0;C
6052;5164;23/03/1998;22356;36;621.0;C
6682;8225;30/03/1998;36204;12;3017.0;D
6083;5305;31/03/1998;240528;48;5011.0;C
6962;9646;02/04/1998;279072;48;5814.0;C
5158;1004;11/04/1998;188532;36;5237.0;C
6464;7156;16/04/1998;49488;24;2062.0;C
5172;1083;16/04/1998;50976;36;1416.0;C
5582;2982;17/04/1998;41256;12;3438.0;C
6136;5572;19/04/1998;140880;60;2348.0;C
6235;6062;19/04/1998;321360;60;5356.0;C
6508;7437;19/04/1998;110736;48;2307.0;C
4968;38;19/04/1998;110736;48;2307.0;C
6632;7990;23/04/1998;144960;48;3020.0;C
7195;10774;23/04/1998;339168;48;7066.0;C
5525;2720;27/04/1998;93888;36;2608.0;C
6320;6495;28/04/1998;104964;12;8747.0;C
6766;8784;28/04/1998;74352;24;3098.0;C
6872;9227;29/04/1998;191580;60;3193.0;C
5906;4533;05/05/1998;81144;36;2254.0;C
7172;10652;07/05/1998;45720;12;3810.0;C
6571;7733;12/05/1998;140064;24;5836.0;C
5616;3143;15/05/1998;130896;24;5454.0;C
6312;6453;17/05/1998;10944;36;304.0;C
6470;7181;17/05/1998;49872;12;4156.0;C
5147;938;21/05/1998;22260;60;371.0;C
5501;2622;21/05/1998;136344;24;5681.0;C
6436;7049;22/05/1998;495180;60;8253.0;C
5699;3562;24/05/1998;174960;24;7290.0;C
5313;1776;27/05/1998;43200;24;1800.0;C
6234;6061;28/05/1998;5148;12;429.0;C
6569;7721;28/05/1998;45456;12;3788.0;C
7202;10812;29/05/1998;140688;48;2931.0;C
5683;3460;29/05/1998;140688;48;2931.0;C
5034;303;30/05/1998;112752;36;3132.0;C
5435;2279;01/06/1998;314688;48;6556.0;C
5815;4116;03/06/1998;151200;36;4200.0;C
5589;3005;05/06/1998;390000;48;8125.0;C
6746;8639;06/06/1998;185640;60;3094.0;C
6790;8919;08/06/1998;76104;24;3171.0;C
6857;9159;08/06/1998;69600;48;1450.0;C
6450;7099;10/06/1998;234336;48;4882.0;C
7221;10915;11/06/1998;152460;60;2541.0;C
5527;2728;15/06/1998;156420;60;2607.0;C
5620;3161;16/06/1998;30012;12;2501.0;C
6215;5944;18/06/1998;78720;48;1640.0;C
7167;10644;18/06/1998;269964;36;7499.0;C
5823;4144;21/06/1998;212976;36;5916.0;C
6207;5912;23/06/1998;184620;60;3077.0;C
6932;9491;25/06/1998;225504;48;4698.0;C
5669;3403;27/06/1998;71820;36;1995.0;C
5154;993;01/07/1998;108720;60;1812.0;C
7168;10645;05/07/1998;208332;36;5787.0;C
5585;2988;08/07/1998;88608;12;7384.0;C
7200;10799;11/07/1998;31140;60;519.0;C
6539;7559;11/07/1998;12792;12;1066.0;C
5774;3916;12/07/1998;96984;36;2694.0;C
6357;6706;12/07/1998;64860;60;1081.0;C
5042;330;12/07/1998;331584;48;6908.0;C
5015;226;12/07/1998;109344;12;9112.0;C
5354;2000;14/07/1998;290820;60;4847.0;C
6054;5180;16/07/1998;58764;12;4897.0;C
7295;11328;18/07/1998;280440;60;4674.0;C
5365;2055;19/07/1998;271260;60;4521.0;C
6755;8713;24/07/1998;170700;60;2845.0;C
5991;4858;27/07/1998;335184;48;6983.0;D
7035;10005;29/07/1998;210744;36;5854.0;C
5893;4467;03/08/1998;86184;36;2394.0;C
7164;10613;15/08/1998;249792;48;5204.0;C
5304;1718;20/08/1998;172272;24;7178.0;C
5561;2910;29/08/1998;437460;60;7291.0;C
5520;2699;30/08/1998;231168;48;4816.0;C
5241;1389;02/09/1998;125472;24;5228.0;C
7096;10257;02/09/1998;37812;12;3151.0;C
6078;5283;09/09/1998;170832;48;3559.0;C
5046;349;09/09/1998;42816;12;3568.0;C
5334;1876;10/09/1998;209040;24;8710.0;C
6969;9673;12/09/1998;88200;36;2450.0;C
6821;9037;15/09/1998;321936;48;6707.0;C
5760;3862;18/09/1998;74916;36;2081.0;C
5614;3137;21/09/1998;253560;60;4226.0;C
7091;10243;22/09/1998;113436;36;3151.0;C
5698;3556;22/09/1998;174840;60;2914.0;C
5169;1068;24/09/1998;253200;60;4220.0;C
7294;11327;27/09/1998;39168;24;1632.0;C
5318;1808;30/09/1998;385584;48;8033.0;C
5368;2073;05/10/1998;44640;24;1860.0;C
6923;9433;05/10/1998;44640;24;1860.0;C
5463;2413;06/10/1998;17952;12;1496.0;C
5265;1498;07/10/1998;165780;60;2763.0;C
6321;6505;08/10/1998;38496;12;3208.0;C
5226;1318;11/10/1998;185544;36;5154.0;C
6868;9208;12/10/1998;82128;24;3422.0;C
4967;37;14/10/1998;318480;60;5308.0;D
5293;1656;29/10/1998;189792;48;3954.0;C
5865;4354;30/10/1998;327660;60;5461.0;C
5841;4268;04/11/1998;41988;12;3499.0;C
5526;2725;08/11/1998;69624;36;1934.0;C
6852;9140;10/11/1998;16032;48;334.0;C
6469;7180;17/11/1998;99744;24;4156.0;C
6168;5698;21/11/1998;99216;36;2756.0;C
7292;11317;22/11/1998;317460;60;5291.0;C
5036;309;25/11/1998;91248;48;1901.0;C
5644;3293;27/11/1998;276084;36;7669.0;C
6856;9156;01/12/1998;163332;36;4537.0;C
5428;2262;02/12/1998;230220;36;6395.0;C
5027;276;02/12/1998;160920;36;4470.0;C
4989;105;05/12/1998;352704;48;7348.0;C
5221;1284;05/12/1998;52512;12;4376.0;C
6402;6922;06/12/1998;139488;24;5812.0;C
5346;1928;06/12/1998;55632;24;2318.0;C
6748;8645;08/12/1998;240900;60;4015.0;C
